customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,Charges.Monthly,Charges.Total,Cuentas_Diarias,PaymentMethod_bank transfer (automatic),PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check,ServiciosContratados,Cancelacion
0002orfbo,0,1,0,1,1,9,1,0,1,0,1,0,1,1,0,1,1,65.6,593.3,2.1866666666666665,False,False,False,True,4,No Canceló
0003mknfe,0,0,0,0,0,9,1,1,1,0,0,0,0,0,1,0,0,59.9,542.4,1.9966666666666666,False,False,False,True,3,No Canceló
0004tlhlj,1,0,0,0,0,4,1,0,2,0,0,1,0,0,0,0,1,73.9,280.85,2.4633333333333334,False,False,True,False,2,Canceló
0011igkff,1,0,1,1,0,13,1,0,2,0,1,1,0,1,1,0,1,98.0,1237.85,3.2666666666666666,False,False,True,False,5,Canceló
0013exchz,1,1,1,1,0,3,1,0,2,0,0,0,1,1,0,0,1,83.9,267.4,2.796666666666667,False,False,False,True,3,Canceló
0013mhzwf,0,1,0,0,1,9,1,0,1,0,0,0,1,1,1,0,1,69.4,571.45,2.3133333333333335,False,True,False,False,4,No Canceló
0013smeoe,0,1,1,1,0,71,1,0,2,1,1,1,1,1,1,2,1,109.7,7904.25,3.6566666666666667,True,False,False,False,7,No Canceló
0014bmaqu,0,0,0,1,0,63,1,1,2,1,0,0,1,0,0,2,1,84.65,5377.8,2.8216666666666668,False,True,False,False,4,No Canceló
0015uocoj,0,1,1,0,0,7,1,0,1,1,0,0,0,0,0,0,1,48.2,340.35,1.6066666666666667,False,False,True,False,2,No Canceló
0016qljis,0,1,0,1,1,65,1,1,1,1,1,1,1,1,1,2,1,90.45,5957.9,3.015,False,False,False,True,8,No Canceló
0017dinoc,0,0,0,0,0,54,0,0,1,1,0,0,1,1,0,2,0,45.2,2460.55,1.5066666666666668,False,True,False,False,3,No Canceló
0017iudmw,0,1,0,1,1,72,1,1,2,1,1,1,1,1,1,2,1,116.8,8456.75,3.893333333333333,False,True,False,False,8,No Canceló
0018nyrou,0,1,0,1,0,5,1,0,2,0,0,0,0,0,0,0,1,68.95,351.5,2.2983333333333333,False,False,True,False,1,No Canceló
0019efaep,0,1,0,0,0,72,1,1,2,1,1,1,0,1,0,2,1,101.3,7261.25,3.3766666666666665,True,False,False,False,6,No Canceló
0019gfntw,0,1,0,0,0,56,0,0,1,1,1,1,1,0,0,2,0,45.05,2560.1,1.5016666666666665,True,False,False,False,4,No Canceló
0020inwck,0,1,0,1,1,71,1,1,2,0,1,1,0,0,1,2,1,95.75,6849.4,3.191666666666667,False,True,False,False,5,No Canceló
0020jdnxp,0,1,0,1,1,34,0,0,1,1,0,1,1,1,1,1,0,61.25,1993.2,2.0416666666666665,False,False,False,True,5,No Canceló
